@_id,@_version,cctvCameraIdentification,cctvCameraSerialNumber,cctvCameraRecordVersionTime,cctvCameraType,cctvCameraLocation/@_type,cctvStillImageService/stillImageUrl/urlLinkAddress,latitude,longitude,cctvCameraLocation/predefinedLocationReference/@_targetClass,cctvCameraLocation/predefinedLocationReference/@_id,cctvCameraLocation/predefinedLocationReference/@_version,cctvStillImageService/cctvStillImageServiceLevel,cctvStillImageService/cctvStillImageFormat,Location,cctvCameraHeightAboveRoadway,cctvCameraSiteLocalDescription/values/value
,,"C-32 (Km.  54,30) Sant Boi Centre",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc71.jpg,,,,,,,, Sant Boi Centre,,
,,"C-32 (Km. 85,05) Alella",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc10.jpg,,,,,,,,Alella,,
,,"C-35 (Km.  84,00) Maçanet de la Selva",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb1.jpg,,,,,,,,Maçanet de la Selva,,
,,"C-35 (Km. 91,50) Caldes de Malavella",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb4.jpg,,,,,,,, Caldes de Malavell,,
,,"C-35(Km. 94,70) Llagostera",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb5.jpg,,,,,,,,Llagostera,,
,,C-35 (Km. 96.50) Llagostera,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb6.jpg,,,,,,,,Llagostera,,
,,"C-58 (Km. 0,50) Nus de Trinitat",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc87.jpg,,,,,,,,Nus de Trinitat,,
,,"C-58 (Km. 1,82) Montcada i Reixac",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc85.jpg,,,,,,,,Montcada i Reixac,,
,,"C-58 (Km.  6,15) Ripollet",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc89.jpg,,,,,,,, Ripollet,,
,,"C-58 (Km. 7,08) Barberà del Vallès",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc15.jpg,,,,,,,,Barberà del Vallès,,
,,"C-58 (Km. 15,24) Sabadell",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc20.jpg,,,,,,,, Sabadell,,
,,"C-58 (Km. 17,73) Terrassa",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc28.jpg,,,,,,,,Terrassa,,
,,"C-65 (Km. 5,40) Santa Cristina d'Aro",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb13.jpg,,,,,,,,Santa Cristina d'Aro,,
,,C-65 (Km. 12) Llagostera,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb11.jpg,,,,,,,,Llagostera,,
,,C-65 (Km. 17) Cassà de la Selva,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb10.jpg,,,,,,,,Cassà de la Selva,,
,,"C-66 (Km. 5,30) Forallac",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb24.jpg,,,,,,,, Forallac,,
,,"C-66 (Km. 7,50) La Bisbal d'Empordà",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb25.jpg,,,,,,,,La Bisbal d'Empordà,,
,,N-340 (Km. 1072) Sant Carles de la Ràpita,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd19.jpg,,,,,,,,Sant Carles de la Ràpita,,
,,"N-340 (Km. 1099,20) L'Ampolla",,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd17.jpg,,,,,,,,L'Ampolla,,
,,N-340 (Km. 1130) Miami Platja,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd14.jpg,,,,,,,, Miami Platj,,
,,T-11 (Km. 0) Tarragona,,,,,http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd1.jpg,,,,,,,,Tarragona,,
